"OrderID","ProductID","CategoryID","SupplierID","SupplierName","ContactName","Address","City","PostalCode","Country","Phone","ProductName","Unit","Price","CategoryName","Description","OrderDetailID","Quantity","orderdate"
"10248","11","4","5","Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra","Calle del Rosal 4","Oviedo","33007","Spain","(98) 598 76 54","Queso Cabrales","1 kg pkg.","21","Dairy Products","Cheeses","1","12","1996-07-04"
"10248","42","5","20","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402","Singapore","512","Singapore","555-8787","Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.","14","Grains/Cereals","Breads, crackers, pasta, and cereal","2","10","1996-07-04"
"10248","72","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mozzarella di Giovanni","24 - 200 g pkgs.","34.8","Dairy Products","Cheeses","3","5","1996-07-04"
"10249","14","7","6","Mayumi's","Mayumi Ohno","92 Setsuko Chuo-ku","Osaka","545","Japan","(06) 431-7877","Tofu","40 - 100 g pkgs.","23.25","Produce","Dried fruit and bean curd","4","9","1996-07-05"
"10249","51","7","24","G'day, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunter's Hill","Sydney","2042","Australia","(02) 555-5914","Manjimup Dried Apples","50 - 300 g pkgs.","53","Produce","Dried fruit and bean curd","5","40","1996-07-05"
"10250","41","8","19","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.","Boston","2134","USA","(617) 555-3267","Jack's New England Clam Chowder","12 - 12 oz cans","9.65","Seafood","Seaweed and fish","6","10","1996-07-08"
"10250","51","7","24","G'day, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunter's Hill","Sydney","2042","Australia","(02) 555-5914","Manjimup Dried Apples","50 - 300 g pkgs.","53","Produce","Dried fruit and bean curd","7","35","1996-07-08"
"10250","65","2","2","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans","70117","USA","(100) 555-4822","Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles","21.05","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","8","15","1996-07-08"
"10251","22","5","9","PB Knäckebröd AB","Lars Peterson","Kaloadagatan 13","Göteborg","S-345 67","Sweden","031-987 65 43","Gustaf's Knäckebröd","24 - 500 g pkgs.","21","Grains/Cereals","Breads, crackers, pasta, and cereal","9","6","1996-07-08"
"10251","57","5","26","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153","Salerno","84100","Italy","(089) 6547665","Ravioli Angelo","24 - 250 g pkgs.","19.5","Grains/Cereals","Breads, crackers, pasta, and cereal","10","15","1996-07-08"
